id,title,state,agency,source,source_url,document_url,document_type,due_date,posted_date,last_checked_at,last_updated_at,budget_estimate,eligibility,eligibility_reason,fit_score,ai_recommendation,status,program_focus,keywords_matched,risks,summary
sam-dfe85182f54e4ce9a0a05eb49e1eb847,Human Translation Services,Federal,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO.INTERNAT BOUNDARY AND WATER COMM,SAM.gov Opportunities API,https://api.sam.gov/opportunities/v2/search,https://sam.gov/workspace/contract/opp/dfe85182f54e4ce9a0a05eb49e1eb847/view,Award Notice,,2026-07-21,2026-07-26T14:18:24Z,2026-07-26T14:18:24Z,125376,Review Needed,Federal opportunity; review notice and set-aside details for vendor eligibility.,49,Review,Unreviewed,Medicaid,MMIS,"Policy signal, not a direct procurement",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dfe85182f54e4ce9a0a05eb49e1eb847
usaspending-CONT_AWD_75FCMC23F0002_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: PENNSYLVANIA RURAL HEALTH MODEL IMPLEMENTATION CONTRACT TOTAL POP: 9/28/23 - 9/27/26",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2028-03-27,2023-09-28,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,2699395,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,86,Pursue,Unreviewed,Medicaid;CMS/Medicare;Rural Health,medicaid;medicare;rural health,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC23F0002 | NAICS: 541720 | PSC: AN42 | Recompete: Recompete watch | PENNSYLVANIA RURAL HEALTH MODEL IMPLEMENTATION CONTRACT TOTAL POP: 9/28/23 - 9/27/26"
usaspending-CONT_AWD_75FCMC26F0077_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: THE CENTERS FOR MEDICARE AND MEDICAID SERVICES (CMS), THROUGH THE CENTER FOR MEDICARE & MEDICAID INNOVATION (INNOVATION CENTER), SEEKS AN IMPLEMENTATION CONTRACTOR (""CONTRACTOR"") TO PROVIDE TECHNICAL AND OPERATIONAL SUPPORT FOR THE LONG...",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-06-17,2026-04-24,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,11259184,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,84,Pursue,Unreviewed,Medicaid;CMS/Medicare,CMS;medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC26F0077 | NAICS: 541720 | PSC: R499 | Recompete: Expiring soon | THE CENTERS FOR MEDICARE AND MEDICAID SERVICES (CMS), THROUGH THE CENTER FOR MEDICARE & MEDICAID INNOVATION (INNOVATION CENTER), SEEKS AN IMPLEMENTATION CONTRACTOR (""CONTRACTOR"") TO PROVIDE TECHNICAL AND OPERATIONAL SUPPORT FOR THE LONG-TERM ENHANCED"
usaspending-CONT_AWD_75FCMC23F0001_7530_HHSM500200400007I_7530,"MAXIMUS FEDERAL SERVICES, INC.: DURABLE MEDICAL EQUIPMENT (DME) QUALIFIED INDEPENDENT CONTRACTOR (QIC)",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-08-31,2023-04-26,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,20997968,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,84,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: MAXIMUS FEDERAL SERVICES, INC. | Award ID: 75FCMC23F0001 | NAICS: 541611 | PSC: R499 | Recompete: Expiring soon | DURABLE MEDICAL EQUIPMENT (DME) QUALIFIED INDEPENDENT CONTRACTOR (QIC)"
usaspending-CONT_AWD_75FCMC23F0001_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: MARYLAND TOTAL COST OF CARE MODEL AND THE VERMONT ALL-PAYER MODELS IMPLEMENTATION CONTRACT",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-09-27,2023-09-28,2026-07-23T22:01:44Z,2026-07-24T00:08:28Z,25375330,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Pursue,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC23F0001 | NAICS: 541720 | PSC: AN42 | Recompete: Expiring soon | MARYLAND TOTAL COST OF CARE MODEL AND THE VERMONT ALL-PAYER MODELS IMPLEMENTATION CONTRACT"
usaspending-CONT_AWD_75FCMC22F0003_7530_75FCMC19D0096_7530,"THE LEWIN GROUP, INC.: PROGRAM INTEGRITY STRATEGIC SUPPORT CONTRACT",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-09-25,2022-09-26,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,4943357,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC22F0003 | NAICS: 541720 | PSC: AN42 | Recompete: Expiring soon | PROGRAM INTEGRITY STRATEGIC SUPPORT CONTRACT"
usaspending-CONT_AWD_75FCMC22C0038_7530_-NONE-_-NONE,"MAXIMUS FEDERAL SERVICES, INC.: CONTACT CENTER OPERATIONS",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-09-10,2022-08-31,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,2779736793,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: MAXIMUS FEDERAL SERVICES, INC. | Award ID: 75FCMC22C0038 | NAICS: 561422 | PSC: R499 | Recompete: Expiring soon | CONTACT CENTER OPERATIONS"
usaspending-CONT_AWD_75FCMC21F0002_7530_HHSM500201600003I_7530,ACCENTURE FEDERAL SERVICES LLC: FEDERALLY FACILITATED EXCHANGE (FFE),Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2027-01-10,2021-07-11,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,796233862,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,Recipient: ACCENTURE FEDERAL SERVICES LLC | Award ID: 75FCMC21F0002 | NAICS: 541512 | PSC: DA01 | Recompete: Expiring soon | FEDERALLY FACILITATED EXCHANGE (FFE)
usaspending-CONT_AWD_75FCMC18F0089_7530_HHSM500201400033I_7530,"THE LEWIN GROUP, INC.: BUNDLED PAYMENTS FOR CARE IMPROVEMENT ADVANCED (BPCI ADVANCED) EVALUATION IGF::CT::IGF",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-09-27,2018-09-28,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,28076158,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC18F0089 | NAICS: 541720 | PSC: R499 | Recompete: Expiring soon | BUNDLED PAYMENTS FOR CARE IMPROVEMENT ADVANCED (BPCI ADVANCED) EVALUATION IGF::CT::IGF"
usaspending-CONT_AWD_HHSM500T0007_7530_HHSM500201400033I_7530,"THE LEWIN GROUP, INC.: IGF::OT::IGF CCJR EVALUATION",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2026-09-30,2016-09-30,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,35914392,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,80,Pursue,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: HHSM500T0007 | NAICS: 541720 | PSC: R499 | Recompete: Expiring soon | IGF::OT::IGF CCJR EVALUATION"
usaspending-CONT_AWD_75FCMC26F0100_7530_GS00F053GA_4732,"THE LEWIN GROUP, INC.: TO OBTAIN A STATISTICAL CONTRACTOR (SC) TO PRODUCE AN IMPROPER PAYMENT RATE FOR BENEFIT YEARS 2026-2029 FOR THE FEDERAL EXCHANGE IMPROPER PAYMENT MEASUREMENT (FEIPM) AND STATE-BASED EXCHANGES IMPROPER PAYMENT MEASUREMENT (SEIPM) PROGRAM...",Federal,"Department of Health and Human Services, Centers for Medicare and Medicaid Services",USAspending.gov Awards API,https://api.usaspending.gov/api/v2/search/spending_by_award/,https://www.usaspending.gov/search/,Recompete Signal,2028-12-31,2026-06-01,2026-07-23T22:01:44Z,2026-07-23T22:01:44Z,1860451,Review Needed,Award history signal; use incumbent and end date to prepare for recompete.,76,Monitor,Unreviewed,Medicaid;CMS/Medicare,medicaid;medicare,,"Recipient: THE LEWIN GROUP, INC. | Award ID: 75FCMC26F0100 | NAICS: 541611 | PSC: R410 | Recompete: Recompete watch | TO OBTAIN A STATISTICAL CONTRACTOR (SC) TO PRODUCE AN IMPROPER PAYMENT RATE FOR BENEFIT YEARS 2026-2029 FOR THE FEDERAL EXCHANGE IMPROPER PAYMENT MEASUREMENT (FEIPM) AND STATE-BASED EXCHANGES IMPROPER PAYMENT MEASUREMENT (SEIPM) PROGRAM. THIS WORK CO"
